-BEGIN HEADER-
Dataset: NASA_Pandeglang_Hourly.csv
Variabel: WS10M, WD10M, RH2M, T2M, PS
Mode: Best Stacking (XGB + Best DL) per variabel
WS10M | Model: XGB-LSTM [WS10M] | MAE=0.211 RMSE=0.28 sMAPE=6.89% R2=0.981
WD10M | Model: XGB-LSTM [WD10M] | MAE=N/A RMSE=N/A CircularMAE=2.512° R2=N/A
RH2M | Model: XGB-LSTM [RH2M] | MAE=0.505 RMSE=0.664 MAE=0.51 R2=0.974
T2M | Model: XGB-BiLSTM [T2M] | MAE=0.1 RMSE=0.133 sMAPE=0.37% R2=0.969
PS | Model: XGB-BiLSTM [PS] | MAE=0.02 RMSE=0.026 MAE=0.02 R2=0.974

Forecast Summary:
Ringkasan prediksi cuaca untuk periode 01-01-2023 hingga 08-01-2023:

▸ Kecepatan angin (WS10M): rata-rata **0.75 m/s**, kategori **tenang (calm)**, tren menurun menuju akhir periode. Tertinggi **6.47 m/s**, terendah **0.33 m/s**. Puncak pukul **07:00**, terendah pukul **04:00**. Model: **XGB-LSTM [WS10M]** | sMAPE **6.89%** | RMSE **0.28** (akurasi **tinggi**).

▸ Arah angin (WD10M): rata-rata **232.30 derajat**, kategori **dari barat daya**, tren menurun menuju akhir periode. Tertinggi **283.96 derajat**, terendah **220.68 derajat**. Puncak pukul **14:00**, terendah pukul **06:00**. Model: **XGB-LSTM [WD10M]** | CircularMAE **2.512°** | Acc±15° **98.6%** (akurasi **tinggi**).

▸ Kelembaban udara (RH2M): rata-rata **67.83 %**, kategori **nyaman**, tren menurun menuju akhir periode. Tertinggi **83.37 %**, terendah **66.87 %**. Puncak pukul **07:00**, terendah pukul **15:00**. Model: **XGB-LSTM [RH2M]** | MAE **0.51%** | RMSE **0.664** (akurasi **tinggi**).

▸ Suhu udara (T2M): rata-rata **25.24 °C**, kategori **nyaman**, tren menurun menuju akhir periode. Tertinggi **27.57 °C**, terendah **24.60 °C**. Puncak pukul **09:00**, terendah pukul **02:00**. Model: **XGB-BiLSTM [T2M]** | sMAPE **0.37%** | RMSE **0.133** (akurasi **tinggi**).

▸ Tekanan atmosfer (PS): rata-rata **100.32 kPa**, kategori **normal**, tren relatif stabil sepanjang periode. Tertinggi **100.86 kPa**, terendah **100.28 kPa**. Puncak pukul **07:00**, terendah pukul **23:00**. Model: **XGB-BiLSTM [PS]** | MAE **0.02%** | RMSE **0.026** (akurasi **tinggi**).


Rata-rata error keseluruhan: **1.95%** — tingkat akurasi prediksi tergolong **tinggi** (CircularMAE untuk arah angin, MAE/sMAPE untuk variabel lain).

Klasifikasi lokasi: **Very Stable** — kondisi atmosfer sangat konsisten — ideal untuk prediksi energi jangka panjang pada PLTB. Hasil ini dapat digunakan sebagai referensi dalam perencanaan dan optimasi sistem PLTB.

-END HEADER-

YEAR;MO;DY;HR;WS10M;WD10M;RH2M;T2M;PS;XGB_Base_WS10M;XGB_LSTM_WS10M;XGB_Base_WD10M;XGB_LSTM_WD10M;XGB_Base_RH2M;XGB_LSTM_RH2M;XGB_Base_T2M;XGB_BiLSTM_T2M;XGB_Base_PS;XGB_BiLSTM_PS
2013;1;2;7;1,72;295,63;86,44;25,79;100,76;1,52;;294,133;;86,032;;25,929;;100,745;
2013;1;2;8;2,25;303,52;86,62;25,98;100,81;2,005;;302,907;;85,912;;26,086;;100,804;
2013;1;2;9;2,96;305,75;87,25;26,18;100,81;2,715;;305,21;;86,388;;26,292;;100,813;
2013;1;2;10;3,78;303,03;87,69;26,39;100,76;3,5;;303,359;;87,262;;26,387;;100,775;
2013;1;2;11;4,62;300,6;87,75;26,62;100,7;4,344;;300,396;;87,664;;26,564;;100,692;
2013;1;2;12;5,34;299,15;87,31;26,82;100,65;5,152;;299,244;;87,452;;26,809;;100,63;
2013;1;2;13;5,71;297,02;87,12;26,89;100,6;5,732;;296,982;;87,221;;26,922;;100,581;
2013;1;2;14;5,76;294,93;87,19;26,84;100,56;5,876;;294,615;;86,993;;26,908;;100,541;
2013;1;2;15;5,65;293,91;87,62;26,73;100,55;5,776;;294,095;;87,203;;26,749;;100,543;
2013;1;2;16;5,52;294,42;88,12;26,62;100,56;5,577;;294,572;;87,652;;26,624;;100,564;
2013;1;2;17;5,24;295,53;88,81;26,53;100,61;5,307;;295,267;;88,238;;26,496;;100,612;
2013;1;2;18;4,99;296,32;89,44;26,4;100,67;5,004;;296,185;;89,194;;26,409;;100,669;
2013;1;2;19;4,94;296,48;89,56;26,39;100,74;4,835;;296,185;;89,606;;26,364;;100,736;
2013;1;2;20;4,98;297,49;89,69;26,4;100,8;4,846;;297,479;;89,662;;26,352;;100,793;
2013;1;2;21;5,0;298,89;89,88;26,4;100,83;4,967;;298,947;;89,84;;26,334;;100,826;
2013;1;2;22;4,82;298,48;90,19;26,36;100,81;4,93;;298,096;;89,971;;26,309;;100,816;
2013;1;2;23;4,53;297,32;90,44;26,29;100,77;4,736;;297,507;;90,31;;26,251;;100,769;
2013;1;3;0;4,37;296,2;90,81;26,2;100,7;4,357;;296,253;;90,755;;26,199;;100,701;
2013;1;3;1;4,33;294,39;91,25;26,11;100,63;4,266;;294,598;;90,856;;26,138;;100,636;
2013;1;3;2;4,32;292,07;91,38;26,08;100,57;4,283;;292,192;;91,313;;26,068;;100,585;
2013;1;3;3;4,26;289,36;91,38;26,08;100,54;4,298;;290,127;;91,282;;26,044;;100,56;
2013;1;3;4;4,21;283,29;91,06;26,15;100,55;4,255;;283,303;;91,066;;26,051;;100,546;
2013;1;3;5;4,21;275,0;90,75;26,22;100,58;4,193;;275,826;;90,869;;26,152;;100,583;
2013;1;3;6;4,31;266,26;90,12;26,46;100,65;4,212;;269,079;;89,954;;26,42;;100,647;
2013;1;3;7;4,7;258,97;89,0;26,73;100,71;4,475;;259,244;;88,829;;26,665;;100,707;
2013;1;3;8;4,96;254,36;88,06;26,9;100,76;4,81;;254,604;;87,7;;26,853;;100,76;
2013;1;3;9;5,15;251,51;87,06;27,06;100,76;5,129;;251,795;;87,142;;27,125;;100,763;
2013;1;3;10;5,06;250,53;86,12;27,18;100,71;5,19;;250,563;;86,46;;27,191;;100,719;
2013;1;3;11;4,87;250,2;85,19;27,26;100,65;5,011;;250,563;;85,417;;27,247;;100,646;
