-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: RH2M
Forecast Summary:
Ringkasan prediksi kelembaban udara (RH2M) untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 87.50 % (sangat lembab), tertinggi 90.21 %, terendah 83.49 %, standar deviasi 2.36 %. Rentang nilai harian mencapai 6.72 %.

▸ Pola harian: puncak sekitar pukul 02:00, lembah sekitar pukul 13:00. Tren meningkat menuju akhir periode.

▸ Analisis: Kelembaban tinggi perlu diperhatikan karena berpotensi mempercepat korosi pada komponen turbin. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — MAE **0.408** %, RMSE **0.569** %, sMAPE **0.49%**, R² **0.993** (sangat baik). Model mampu menjelaskan variasi data dengan kemampuan sangat baik. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;RH2M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;87,12;86,68;86,666;88,621;;
2013;1;2;8;84,88;84,313;84,534;85,637;;
2013;1;2;9;84,0;82,512;82,728;83,457;;
2013;1;2;10;83,44;81,939;82,128;82,328;;
2013;1;2;11;82,5;82,071;82,457;81,615;;
2013;1;2;12;81,88;81,987;81,798;81,497;;
2013;1;2;13;82,38;81,571;81,935;81,934;;
2013;1;2;14;84,12;83,035;83,536;82,58;;
2013;1;2;15;86,44;84,6;85,902;84,395;;
2013;1;2;16;88,88;86,65;88,07;87,106;;
2013;1;2;17;91,25;89,887;90,469;90,305;;
2013;1;2;18;93,0;91,779;92,348;91,684;;
2013;1;2;19;93,31;92,74;93,168;92,371;;
2013;1;2;20;93,31;93,29;93,577;92,73;;
2013;1;2;21;93,56;93,38;93,406;92,808;;
2013;1;2;22;93,88;93,633;93,625;92,876;;
2013;1;2;23;94,31;93,83;93,908;92,843;;
2013;1;3;0;94,62;94,189;94,339;92,981;;
2013;1;3;1;94,75;94,312;94,569;93,349;;
2013;1;3;2;94,88;94,513;94,584;93,592;;
2013;1;3;3;94,94;94,477;94,784;93,558;;
2013;1;3;4;94,81;94,425;94,75;93,507;;
2013;1;3;5;94,75;94,302;94,629;93,018;;
2013;1;3;6;93,38;93,611;93,452;92,152;;
2013;1;3;7;91,44;91,38;91,678;90,498;;
2013;1;3;8;88,81;88,44;89,034;88,71;;
2013;1;3;9;85,31;85,757;85,916;86,399;;
2013;1;3;10;82,94;83,615;83,433;84,059;;
2013;1;3;11;80,88;81,039;81,499;82,286;;
2013;1;3;12;79,56;80,297;80,01;81,402;;
2013;1;3;13;79,81;79,919;79,793;81,349;;
2013;1;3;14;81,12;80,586;80,487;81,833;;
2013;1;3;15;82,75;82,572;82,901;83,564;;
2013;1;3;16;85,25;84,312;84,787;85,734;;
2013;1;3;17;88,69;87,893;88,452;88,379;;
2013;1;3;18;91,62;90,126;90,779;90,599;;
2013;1;3;19;92,19;91,441;91,887;91,386;;
2013;1;3;20;92,56;92,263;92,667;91,904;;
2013;1;3;21;92,75;92,592;92,657;92,285;;
2013;1;3;22;93,12;92,861;92,923;92,312;;
2013;1;3;23;93,56;93,188;93,348;92,599;;
2013;1;4;0;93,88;93,445;93,605;92,989;;
2013;1;4;1;93,94;93,532;93,828;93,116;;
2013;1;4;2;93,62;93,422;93,838;93,113;;
2013;1;4;3;93,94;93,53;93,634;93,004;;
2013;1;4;4;94,0;93,582;93,811;93,079;;
2013;1;4;5;93,94;93,565;93,83;92,825;;
2013;1;4;6;92,69;92,955;92,919;92,259;;
2013;1;4;7;90,0;90,255;90,122;90,949;91,476;90,673
2013;1;4;8;87,0;87,244;86,935;88,325;88,577;87,334
2013;1;4;9;83,88;83,982;84,004;85,504;84,538;84,078
2013;1;4;10;82,44;82,264;82,246;83,253;81,239;81,562
2013;1;4;11;83,0;81,13;81,463;82,162;79,764;80,303
2013;1;4;12;85,19;82,282;82,769;82,286;80,573;80,761
2013;1;4;13;87,12;84,673;85,718;83,077;83,695;83,467
2013;1;4;14;89,19;86,858;88,209;84,5;87,672;87,52
2013;1;4;15;91,06;88,826;90,308;86,654;90,464;90,716
2013;1;4;16;92,25;90,115;91,798;89,501;92,007;91,814
2013;1;4;17;92,62;91,898;92,434;91,851;92,936;92,618
2013;1;4;18;91,94;92,74;92,543;92,546;93,225;93,046
2013;1;4;19;90,56;92,089;91,839;92,195;92,888;93,019
2013;1;4;20;89,19;90,671;90,216;91,744;92,144;92,525
2013;1;4;21;88,94;89,833;89,176;91,627;91,251;91,64
2013;1;4;22;90,19;89,642;89,386;91,545;90,428;90,617
2013;1;4;23;92,0;90,695;90,743;91,85;90,051;89,901
2013;1;5;0;93,0;91,934;92,26;92,5;90,424;90,0
2013;1;5;1;92,94;92,698;93,042;92,539;91,577;90,96
