-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: WS10M, WD10M, RH2M, T2M, PS
Mode: Best Stacking (XGB + Best DL) per variabel
WS10M | Model: XGB-BiLSTM [WS10M] | MAE=0.237 RMSE=0.311 sMAPE=9.02% R2=0.957
WD10M | Model: XGB-LSTM [WD10M] | MAE=N/A RMSE=N/A CircularMAE=3.212° R2=N/A
RH2M | Model: XGB-BiLSTM [RH2M] | MAE=1.432 RMSE=1.88 MAE=1.43 R2=0.918
T2M | Model: XGB-BiLSTM [T2M] | MAE=0.351 RMSE=0.448 sMAPE=1.34% R2=0.89
PS | Model: XGB-LSTM [PS] | MAE=0.051 RMSE=0.07 MAE=0.051 R2=0.803

Forecast Summary:
Ringkasan prediksi cuaca untuk periode 01-01-2023 hingga 08-01-2023:

▸ Kecepatan angin (WS10M): rata-rata **1.99 m/s**, kategori **angin sepoi ringan**, tren menurun menuju akhir periode. Tertinggi **7.44 m/s**, terendah **0.48 m/s**. Puncak pukul **13:00**, terendah pukul **03:00**. Model: **XGB-BiLSTM [WS10M]** | sMAPE **9.02%** | RMSE **0.311** (akurasi **tinggi**).

▸ Arah angin (WD10M): rata-rata **238.99 derajat**, kategori **dari barat daya**, tren menurun menuju akhir periode. Tertinggi **290.31 derajat**, terendah **229.25 derajat**. Puncak pukul **10:00**, terendah pukul **03:00**. Model: **XGB-LSTM [WD10M]** | CircularMAE **3.212°** | Acc±15° **97.9%** (akurasi **tinggi**).

▸ Kelembaban udara (RH2M): rata-rata **60.88 %**, kategori **nyaman**, tren menurun menuju akhir periode. Tertinggi **86.51 %**, terendah **57.26 %**. Puncak pukul **07:00**, terendah pukul **17:00**. Model: **XGB-BiLSTM [RH2M]** | MAE **1.43%** | RMSE **1.88** (akurasi **tinggi**).

▸ Suhu udara (T2M): rata-rata **25.49 °C**, kategori **nyaman**, tren menurun menuju akhir periode. Tertinggi **27.04 °C**, terendah **23.80 °C**. Puncak pukul **13:00**, terendah pukul **04:00**. Model: **XGB-BiLSTM [T2M]** | sMAPE **1.34%** | RMSE **0.448** (akurasi **tinggi**).

▸ Tekanan atmosfer (PS): rata-rata **98.78 kPa**, kategori **rendah**, tren relatif stabil sepanjang periode. Tertinggi **99.09 kPa**, terendah **98.67 kPa**. Puncak pukul **07:00**, terendah pukul **23:00**. Model: **XGB-LSTM [PS]** | MAE **0.05%** | RMSE **0.07** (akurasi **tinggi**).


Rata-rata error keseluruhan: **2.96%** — tingkat akurasi prediksi tergolong **tinggi** (CircularMAE untuk arah angin, MAE/sMAPE untuk variabel lain).

Klasifikasi lokasi: **Very Stable** — kondisi atmosfer sangat konsisten — ideal untuk prediksi energi jangka panjang pada PLTB. Hasil ini dapat digunakan sebagai referensi dalam perencanaan dan optimasi sistem PLTB.

-END HEADER-

YEAR;MO;DY;HR;WS10M;WD10M;RH2M;T2M;PS;XGB_Base_WS10M;XGB_BiLSTM_WS10M;XGB_Base_WD10M;XGB_LSTM_WD10M;XGB_Base_RH2M;XGB_BiLSTM_RH2M;XGB_Base_T2M;XGB_BiLSTM_T2M;XGB_Base_PS;XGB_LSTM_PS
2013;1;2;7;1,1;320,19;87,12;24,73;98,94;0,984;;317,728;;86,327;;25,179;;98,906;
2013;1;2;8;1,81;324,87;84,88;25,23;98,98;1,579;;323,905;;84,409;;25,681;;98,95;
2013;1;2;9;2,52;326,26;84,0;25,68;98,97;2,343;;325,12;;82,527;;25,956;;98,974;
2013;1;2;10;3,12;321,61;83,44;26,1;98,92;3,037;;321,618;;81,883;;26,177;;98,925;
2013;1;2;11;3,76;313,48;82,5;26,56;98,86;3,645;;313,798;;81,911;;26,491;;98,848;
2013;1;2;12;4,43;305,96;81,88;26,9;98,79;4,256;;306,465;;81,54;;26,829;;98,793;
2013;1;2;13;4,92;298,44;82,38;26,95;98,74;4,816;;298,944;;82,937;;26,787;;98,741;
2013;1;2;14;5,17;292,69;84,12;26,71;98,7;5,172;;292,801;;83,463;;26,692;;98,717;
2013;1;2;15;5,21;288,9;86,44;26,35;98,69;5,236;;289,924;;85,97;;26,21;;98,71;
2013;1;2;16;5,13;288,02;88,88;25,95;98,72;5,097;;288,323;;88,888;;25,831;;98,729;
2013;1;2;17;4,69;288,77;91,25;25,55;98,77;4,741;;288,292;;90,675;;25,431;;98,768;
2013;1;2;18;4,15;290,52;93,0;25,17;98,83;4,213;;290,456;;92,257;;25,082;;98,829;
2013;1;2;19;3,99;291,95;93,31;25,01;98,9;3,917;;292,098;;93,162;;24,967;;98,885;
2013;1;2;20;3,85;294,85;93,31;24,93;98,97;3,821;;294,662;;93,609;;24,853;;98,942;
2013;1;2;21;3,64;297,61;93,56;24,84;98,99;3,648;;297,375;;93,569;;24,713;;98,983;
2013;1;2;22;3,37;297,46;93,88;24,75;98,99;3,47;;297,097;;93,765;;24,622;;98,984;
2013;1;2;23;3,13;294,78;94,31;24,63;98,94;3,184;;294,949;;94,115;;24,552;;98,955;
2013;1;3;0;3,03;292,4;94,62;24,52;98,87;2,995;;292,574;;94,396;;24,495;;98,879;
2013;1;3;1;2,97;291,1;94,75;24,43;98,8;2,948;;291,317;;94,587;;24,362;;98,816;
2013;1;3;2;2,87;290,56;94,88;24,37;98,74;2,864;;291,188;;94,766;;24,272;;98,776;
2013;1;3;3;2,71;289,53;94,94;24,33;98,71;2,812;;290,031;;94,945;;24,23;;98,751;
2013;1;3;4;2,68;284,32;94,81;24,34;98,73;2,7;;284,353;;94,941;;24,259;;98,745;
2013;1;3;5;2,76;276,66;94,75;24,39;98,76;2,673;;278,217;;94,837;;24,345;;98,761;
2013;1;3;6;2,97;268,34;93,38;25,05;98,82;2,893;;270,986;;92,744;;24,863;;98,815;
2013;1;3;7;3,67;262,28;91,44;25,58;98,88;3,414;;263,816;;91,112;;25,533;;98,864;
2013;1;3;8;4,19;260,24;88,81;26,08;98,92;4,042;;260,465;;88,707;;26,048;;98,899;
2013;1;3;9;4,63;259,3;85,31;26,66;98,92;4,516;;259,581;;86,046;;26,526;;98,911;
2013;1;3;10;4,8;258,65;82,94;27,04;98,86;4,833;;258,094;;83,267;;26,877;;98,876;
2013;1;3;11;4,87;257,86;80,88;27,35;98,79;4,937;;257,177;;81,0;;27,324;;98,807;
