-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Variabel: WD10M
Forecast Summary:
Ringkasan prediksi arah angin untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 283.57 derajat (dari barat), tertinggi 290.55 derajat, terendah 283.43 derajat, standar deviasi 0.81 derajat. Rentang nilai harian mencapai 7.12 derajat.

▸ Pola harian: puncak sekitar pukul 07:00, lembah sekitar pukul 00:00. Tren menurun menuju akhir periode.

▸ Analisis: Arah angin dominan dari barat (283.6°), penting untuk kalibrasi yaw control dan optimasi layout PLTB. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — CircularMAE **0.364°** (0.20% dari 180°), CircularRMSE **0.643°**, CircularCorr **1.000**, Acc±15° **100.0%**. Model mampu memprediksi arah angin dengan akurasi ±15° sebesar **100.0%**. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;WD10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;284,23;283,43;281,37;272,509;;
2013;1;2;8;296,89;295,671;296,77;286,791;;
2013;1;2;9;303,39;302,771;302,826;295,29;;
2013;1;2;10;302,39;301,153;301,555;293,625;;
2013;1;2;11;295,81;294,014;295,992;290,377;;
2013;1;2;12;283,96;283,43;283,605;284,921;;
2013;1;2;13;261,58;260,95;263,088;265,386;;
2013;1;2;14;241,1;241,729;241,714;249,899;;
2013;1;2;15;227,27;227,212;227,561;231,46;;
2013;1;2;16;223,29;222,967;222,983;223,564;;
2013;1;2;17;219,51;219,281;219,871;220,615;;
2013;1;2;18;215,1;215,646;215,455;216,824;;
2013;1;2;19;212,48;212,819;213,013;213,399;;
2013;1;2;20;211,73;212,122;212,334;211,63;;
2013;1;2;21;215,3;215,646;215,451;213,638;;
2013;1;2;22;218,45;217,798;218,244;216,673;;
2013;1;2;23;222,08;221,806;222,035;222,92;;
2013;1;3;0;223,58;223,066;223,684;228,724;;
2013;1;3;1;222,08;221,806;222,149;228,44;;
2013;1;3;2;218,56;217,798;218,4;225,718;;
2013;1;3;3;212,63;212,819;213,103;218,564;;
2013;1;3;4;208,09;207,902;208,362;213,499;;
2013;1;3;5;206,29;206,317;206,069;210,435;;
