-BEGIN HEADER-
Dataset: NASA_Situbondo_Hourly.csv
Forecast Summary:
Prediksi kecepatan angin di Pulau Bawean untuk periode Januari 2025 menunjukkan rata-rata 3.38 m/s, termasuk kategori angin sedang (gentle to moderate breeze). Kecepatan tertinggi mencapai 4.17 m/s dan terendah 3.23 m/s dengan standar deviasi 0.12 m/s. Angin cenderung terkencang sekitar pukul 08:00 dan terlemah sekitar pukul 18:00. Tren keseluruhan: menurun menuju akhir periode. 

Model terbaik adalah XGB dengan MAPE 2.28% dan RMSE 0.057. Tingkat akurasi: tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;8;2,71;2,83;2,796;2,646;;
2013;1;2;9;2,66;2,645;2,651;2,352;;
2013;1;2;10;2,18;2,312;2,26;2,352;;
2013;1;2;11;1,98;1,942;1,935;2,402;;
2013;1;2;12;2,23;2,072;2,142;2,658;;
2013;1;2;13;2,96;2,691;2,792;2,658;;
2013;1;2;14;3,94;3,555;3,729;3,152;;
2013;1;2;15;4,65;4,266;4,49;4,04;;
2013;1;2;16;4,71;4,673;4,82;4,022;;
2013;1;2;17;3,94;4,205;4,145;3,774;;
2013;1;2;18;2,87;3,195;2,975;3,358;;
2013;1;2;19;2,7;2,657;2,62;2,912;;
2013;1;2;20;2,57;2,583;2,613;2,458;;
2013;1;2;21;2,48;2,502;2,5;2,504;;
2013;1;2;22;2,32;2,382;2,362;2,422;;
2013;1;2;23;2,22;2,255;2,244;2,296;;
2013;1;3;0;2,16;2,173;2,175;2,11;;
2013;1;3;1;2,17;2,164;2,196;2,11;;
2013;1;3;2;2,17;2,195;2,186;2,172;;
2013;1;3;3;2,17;2,203;2,188;2,2;;
2013;1;3;4;2,19;2,209;2,201;2,242;;
2013;1;3;5;2,3;2,288;2,287;2,5;;
2013;1;3;6;2,6;2,499;2,522;2,548;;
2013;1;3;7;3,24;3,124;3,194;2,85;;
2013;1;3;8;3,7;3,61;3,638;3,3;;
2013;1;3;9;4,09;3,972;4,013;3,794;;
2013;1;3;10;4,26;4,193;4,25;3,818;;
2013;1;3;11;4,01;4,086;4,065;3,798;;
2013;1;3;12;3,55;3,711;3,599;3,72;;
2013;1;3;13;3,08;3,174;3,142;3,29;;
2013;1;3;14;2,58;2,68;2,633;2,798;;
2013;1;3;15;2,18;2,239;2,205;2,086;;
2013;1;3;16;1,9;1,918;1,893;2,022;;
2013;1;3;17;1,74;1,722;1,726;1,832;;
2013;1;3;18;1,63;1,607;1,62;1,688;;
2013;1;3;19;1,63;1,654;1,687;1,706;;
2013;1;3;20;1,7;1,715;1,713;1,758;;
2013;1;3;21;1,74;1,75;1,776;1,758;;
2013;1;3;22;1,83;1,834;1,833;1,758;;
2013;1;3;23;1,89;1,901;1,905;1,758;;
2013;1;4;0;1,88;1,907;1,897;1,976;;
2013;1;4;1;1,86;1,883;1,885;1,884;;
2013;1;4;2;1,8;1,823;1,821;1,776;;
2013;1;4;3;1,71;1,755;1,736;1,724;;
2013;1;4;4;1,63;1,63;1,628;1,734;;
2013;1;4;5;1,62;1,613;1,624;1,734;;
2013;1;4;6;1,91;1,797;1,844;1,786;;
2013;1;4;7;2,06;2,061;2,094;2,042;;
2013;1;4;8;2,02;2,089;2,058;2,002;2,044;2,088
2013;1;4;9;2,08;2,06;2,041;1,848;1,769;1,886
2013;1;4;10;1,98;2,039;2,02;1,848;2,03;2,053
2013;1;4;11;1,69;1,825;1,76;1,734;1,88;1,853
2013;1;4;12;1,47;1,489;1,462;1,618;1,442;1,487
2013;1;4;13;1,45;1,424;1,412;1,51;1,312;1,29
2013;1;4;14;1,5;1,461;1,487;1,436;1,495;1,508
2013;1;4;15;1,44;1,478;1,464;1,382;1,498;1,573
2013;1;4;16;1,32;1,357;1,338;1,338;1,303;1,379
2013;1;4;17;1,2;1,214;1,194;1,318;1,221;1,151
2013;1;4;18;1,23;1,176;1,189;1,426;1,139;1,107
2013;1;4;19;1,4;1,343;1,365;1,532;1,326;1,33
2013;1;4;20;1,57;1,559;1,554;1,532;1,573;1,541
2013;1;4;21;1,73;1,703;1,724;1,612;1,682;1,705
2013;1;4;22;1,73;1,802;1,777;1,612;1,807;1,843
2013;1;4;23;1,63;1,731;1,682;1,612;1,697;1,734
2013;1;5;0;1,6;1,601;1,595;1,658;1,537;1,587
2013;1;5;1;1,59;1,579;1,592;1,554;1,581;1,593
2013;1;5;2;1,44;1,512;1,492;1,508;1,601;1,571
2013;1;5;3;1,34;1,367;1,323;1,562;1,327;1,333
2013;1;5;4;1,57;1,467;1,503;1,662;1,254;1,283
2013;1;5;5;1,87;1,766;1,829;1,976;1,818;1,758
2013;1;5;6;2,09;2,032;2,043;1,976;2,039;2,054
2013;1;5;7;3,01;2,696;2,821;2,598;2,234;2,356
2013;1;5;8;3,69;3,481;3,596;3,312;3,543;3,639
2013;1;5;9;4,05;3,896;3,996;4,032;3,941;4,005
2013;1;5;10;4,16;4,144;4,223;3,882;3,933;4,156
2013;1;5;11;4,12;4,085;4,106;3,882;3,869;4,03
2013;1;5;12;3,78;3,866;3,853;3,68;3,806;4,015
2013;1;5;13;3,3;3,411;3,418;3,68;3,229;3,431
2013;1;5;14;3,14;3,111;3,122;3,662;2,66;2,85
2013;1;5;15;3,7;3,433;3,504;3,818;2,886;3,202
2013;1;5;16;4,37;4,099;4,186;3,848;3,814;3,916
2013;1;5;17;4,49;4,431;4,447;3,792;4,369;4,579
2013;1;5;18;3,54;3,85;3,748;3,792;3,822;4,094
2013;1;5;19;2,86;3,071;2,937;3,792;2,411;2,909
2013;1;5;20;2,62;2,622;2,542;2,582;2,159;2,422
2013;1;5;21;2,42;2,438;2,46;2,46;2,366;2,36
2013;1;5;22;2,46;2,408;2,442;2,424;2,269;2,37
2013;1;5;23;2,52;2,514;2,519;2,432;2,346;2,449
2013;1;6;0;2,78;2,687;2,711;2,778;2,481;2,607
2013;1;6;1;2,98;2,919;2,971;2,89;2,812;2,991
2013;1;6;2;3,02;3,003;3,052;2,89;2,924;3,049
2013;1;6;3;2,9;2,953;2,933;2,862;2,852;3,048
2013;1;6;4;2,77;2,822;2,811;2,796;2,631;2,785
2013;1;6;5;2,64;2,694;2,687;2,62;2,516;2,716
2013;1;6;6;2,65;2,651;2,658;2,658;2,449;2,558
2013;1;6;7;3,09;3,049;3,1;2,492;2,847;2,972
2013;1;6;8;2,99;3,163;3,133;2,972;3,172;3,316
2013;1;6;9;2,82;2,891;2,836;2,808;2,638;2,797
2013;1;6;10;2,65;2,682;2,68;2,69;2,534;2,737
2013;1;6;11;2,46;2,492;2,495;2,648;2,428;2,49
2013;1;6;12;2,53;2,475;2,511;2,714;2,259;2,405
2013;1;6;13;2,78;2,682;2,717;2,864;2,504;2,63
2013;1;6;14;3,15;3,01;3,049;3,2;2,852;2,985
2013;1;6;15;3,4;3,311;3,396;3,194;3,252;3,445
2013;1;6;16;3,27;3,329;3,348;3,0;3,206;3,385
2013;1;6;17;2,94;2,976;2,989;3,0;2,676;2,883
2013;1;6;18;2,38;2,46;2,416;2,468;2,352;2,51
2013;1;6;19;2,36;2,299;2,339;2,382;1,939;2,058
2013;1;6;20;2,44;2,455;2,447;2,414;2,249;2,393
2013;1;6;21;2,46;2,476;2,479;2,416;2,385;2,45
2013;1;6;22;2,35;2,438;2,435;2,416;2,357;2,509
2013;1;6;23;2,37;2,381;2,367;2,432;2,126;2,249
2013;1;7;0;2,21;2,276;2,275;2,454;2,31;2,415
2013;1;7;1;2,38;2,319;2,331;2,596;1,942;2,055
2013;1;7;2;2,98;2,756;2,884;2,596;2,366;2,47
2013;1;7;3;2,69;2,853;2,833;2,582;3,248;3,3
2013;1;7;4;2,72;2,669;2,656;2,424;2,201;2,377
2013;1;7;5;2,14;2,348;2,291;2,358;2,568;2,83
2013;1;7;6;1,59;1,746;1,683;2,026;1,622;1,614
2013;1;7;7;1,03;1,253;1,174;1,5;1,411;1,572
2013;1;7;8;1,05;0,951;0,946;1,678;0,72;0,731
2013;1;7;9;1,95;1,521;1,736;1,726;1,25;1,24
2013;1;7;10;2,53;2,375;2,517;2,36;2,67;2,78
2013;1;7;11;3,26;3,016;3,092;3,174;2,864;2,966
2013;1;7;12;4,14;3,798;3,953;3,636;3,546;3,89
2013;1;7;13;4,82;4,527;4,635;4,246;4,381;4,55
2013;1;7;14;5,46;5,122;5,18;4,726;4,773;5,223
2013;1;7;15;6,27;5,754;6,192;5,844;5,243;5,682
2013;1;7;16;6,68;6,332;6,305;6,528;6,13;6,619
2013;1;7;17;7,09;6,634;6,453;6,824;6,037;6,429
2013;1;7;18;7,2;6,761;5,91;6,624;6,488;6,743
2013;1;7;19;6,88;6,746;6,032;6,624;6,318;6,624
2013;1;7;20;6,32;6,361;5,767;6,264;5,846;6,295
2013;1;7;21;5,63;5,795;5,497;5,766;5,358;5,61
2013;1;7;22;5,29;5,374;5,406;5,766;4,526;4,823
2013;1;7;23;4,71;4,763;5,343;5,068;4,729;4,922
2013;1;8;0;3,95;4,227;4,171;4,352;3,793;4,003
2013;1;8;1;3,17;3,398;3,196;3,056;3,164;3,49
2013;1;8;2;2,53;2,703;2,614;2,722;2,304;2,52
2013;1;8;3;2,28;2,258;2,223;2,65;1,899;2,163
2013;1;8;4;2,36;2,294;2,309;2,614;1,959;2,061
2013;1;8;5;2,52;2,457;2,468;2,902;2,317;2,466
2013;1;8;6;2,88;2,745;2,825;2,864;2,555;2,63
2013;1;8;7;3,91;3,645;3,788;3,356;3,304;3,547
2013;1;8;8;4,82;4,343;4,661;4,248;4,404;4,725
2013;1;8;9;5,27;5,056;5,301;5,136;5,008;5,391
2013;1;8;10;5,64;5,432;5,969;5,604;4,998;5,476
2013;1;8;11;5,96;5,725;5,929;6,088;5,455;5,87
2013;1;8;12;6,1;6,08;5,972;6,228;5,643;6,133
2013;1;8;13;6,19;5,982;6,195;6,154;5,671;6,124
2013;1;8;14;6,0;5,964;5,998;5,644;5,831;6,184
